id,dogId,startTime,endTime,intentsity,excercise,heartAnomoly,heartRate,respirationRate
168,5,2024-08-24 15:53:27.772+00,2024-08-24 12:54:02.928+00,2,2.52,0,69,21
169,5,2024-08-24 12:54:02.938+00,2024-08-24 12:54:05.73+00,2,2.52,0,115,32
170,5,2024-08-24 12:54:05.741+00,2024-08-24 12:54:08.534+00,2,2.52,0,85,32
171,5,2024-08-24 12:54:08.545+00,2024-08-24 12:54:12.107+00,2,2.52,0,89,32
172,5,2024-08-24 12:54:12.118+00,2024-08-24 12:54:16.311+00,2,2.52,0,113,32
173,5,2024-08-24 12:54:16.392+00,2024-08-24 12:54:21.777+00,2,2.52,0,104,21
174,5,2024-08-24 12:54:21.786+00,2024-08-24 12:54:25.28+00,2,2.52,0,123,21
175,5,2024-08-24 12:54:25.291+00,2024-08-24 12:54:28.924+00,2,2.52,0,158,32
176,5,2024-08-24 12:54:28.935+00,2024-08-24 12:54:34.179+00,2,2.52,0,46,32
177,5,2024-08-24 12:54:34.258+00,2024-08-24 12:54:39.364+00,2,2.52,0,97,21
182,5,2024-08-24 16:00:33.038+00,2024-08-24 16:00:35.83+00,2,2.52,0,110,21
183,5,2024-08-24 16:00:35.84+00,2024-08-24 16:00:37.582+00,2,2.52,0,121,32
185,5,2024-08-24 12:54:50.655+00,2024-08-24 12:54:51.275+00,2,2.52,0,100,21
188,5,2024-08-24 12:54:55.209+00,2024-08-24 16:00:44.89+00,2,2.52,0,121,21
